certificate_id,student_id,certificate_type,course_id,track_id,date_issued
69760,260998,1,30,\N,2022-02-05
69763,262459,1,7,\N,2022-02-05
69767,260980,1,42,\N,2022-02-05
69771,261682,1,23,\N,2022-02-05
69778,261905,1,23,\N,2022-02-06
69783,259549,1,42,\N,2022-02-06
69788,262826,1,7,\N,2022-02-06
69789,261550,1,20,\N,2022-02-06
69791,258971,1,20,\N,2022-02-06
69793,261737,1,7,\N,2022-02-06
69799,262675,1,30,\N,2022-02-07
69809,262643,1,7,\N,2022-02-07
69810,261567,1,16,\N,2022-02-07
69811,261567,1,22,\N,2022-02-07
69813,262596,1,35,\N,2022-02-07
69814,261785,1,46,\N,2022-02-07
69818,260477,1,21,\N,2022-02-08
69821,261263,1,20,\N,2022-02-08
69822,260754,1,21,\N,2022-02-08
69825,261593,1,7,\N,2022-02-08
69828,259938,1,16,\N,2022-02-08
69831,259174,1,21,\N,2022-02-09
69833,261263,1,14,\N,2022-02-09
69853,259494,1,35,\N,2022-02-09
69859,261782,1,7,\N,2022-02-09
69861,261491,1,24,\N,2022-02-09
69862,262641,1,39,\N,2022-02-09
69867,262596,1,11,\N,2022-02-10
69869,261121,1,7,\N,2022-02-10
69872,260649,1,16,\N,2022-02-10
69873,263120,1,2,\N,2022-02-10
69883,261802,1,46,\N,2022-02-10
69888,261802,1,7,\N,2022-02-10
69894,262224,1,7,\N,2022-02-10
69895,261802,1,42,\N,2022-02-10
69900,262817,1,7,\N,2022-02-10
69901,260345,1,23,\N,2022-02-10
69902,260345,1,23,\N,2022-02-10
69903,262675,1,20,\N,2022-02-10
69904,263216,1,7,\N,2022-02-10
69909,261263,1,22,\N,2022-02-11
69910,260593,1,16,\N,2022-02-11
69911,261773,1,46,\N,2022-02-11
69912,262817,1,13,\N,2022-02-11
69915,262643,1,46,\N,2022-02-11
69924,261828,1,23,\N,2022-02-11
69925,260980,1,7,\N,2022-02-11
69949,261171,1,4,\N,2022-02-12
69953,263300,1,7,\N,2022-02-12
69954,262792,1,42,\N,2022-02-12
69957,259684,1,7,\N,2022-02-12
69959,260593,1,22,\N,2022-02-13
69964,261802,1,23,\N,2022-02-13
69971,259860,1,46,\N,2022-02-13
69974,261391,1,42,\N,2022-02-13
69978,263368,1,7,\N,2022-02-14
69979,261359,1,4,\N,2022-02-14
69980,261802,1,13,\N,2022-02-14
69983,260649,1,22,\N,2022-02-14
69985,261171,1,21,\N,2022-02-14
69987,261685,1,42,\N,2022-02-14
69988,261685,1,46,\N,2022-02-14
69991,260465,1,21,\N,2022-02-14
69996,261777,1,24,\N,2022-02-14
69998,263076,1,7,\N,2022-02-14
70001,261682,1,21,\N,2022-02-14
70008,261171,1,22,\N,2022-02-15
70009,261519,1,30,\N,2022-02-15
70010,261802,1,39,\N,2022-02-15
70011,260774,1,7,\N,2022-02-15
70013,260345,1,46,\N,2022-02-15
70019,261905,1,21,\N,2022-02-15
70020,260486,1,14,\N,2022-02-15
70032,263531,1,21,\N,2022-02-16
70042,260173,1,21,\N,2022-02-16
70043,262792,1,46,\N,2022-02-17
70045,260345,1,42,\N,2022-02-17
70048,263480,1,23,\N,2022-02-17
70049,263480,1,20,\N,2022-02-17
70054,263690,1,7,\N,2022-02-17
70057,263759,1,7,\N,2022-02-17
70059,260345,1,13,\N,2022-02-17
70060,260998,1,35,\N,2022-02-17
70067,261802,1,21,\N,2022-02-18
70071,262819,1,7,\N,2022-02-18
70074,260916,1,21,\N,2022-02-18
70075,260664,1,23,\N,2022-02-18
70081,261550,1,42,\N,2022-02-18
70083,264076,1,7,\N,2022-02-18
70084,263293,1,7,\N,2022-02-18
70088,263112,1,23,\N,2022-02-19
70089,261212,1,16,\N,2022-02-19
70092,263363,1,7,\N,2022-02-19
70095,261171,1,23,\N,2022-02-19
70099,261212,1,22,\N,2022-02-19
70105,260345,1,35,\N,2022-02-19
70110,260998,1,16,\N,2022-02-20
70111,260998,1,20,\N,2022-02-20
70118,261171,1,35,\N,2022-02-20
70121,261446,1,23,\N,2022-02-20
70124,263120,1,23,\N,2022-02-20
70125,264253,1,7,\N,2022-02-20
70126,263888,1,35,\N,2022-02-20
70127,263786,1,20,\N,2022-02-20
70132,263480,1,35,\N,2022-02-21
70135,263120,1,13,\N,2022-02-21
70140,263531,1,24,\N,2022-02-21
70142,261452,1,15,\N,2022-02-21
70147,263786,1,30,\N,2022-02-21
70150,259684,1,20,\N,2022-02-21
70155,264076,1,23,\N,2022-02-22
70158,264476,1,7,\N,2022-02-22
70160,263120,1,39,\N,2022-02-22
70164,264513,1,20,\N,2022-02-22
70179,262641,1,21,\N,2022-02-22
70182,260968,1,42,\N,2022-02-23
70184,263545,1,7,\N,2022-02-23
70188,262412,1,7,\N,2022-02-23
70190,261802,1,24,\N,2022-02-23
70196,261802,1,22,\N,2022-02-23
70198,263786,1,4,\N,2022-02-23
70202,263293,1,46,\N,2022-02-23
70207,264076,1,21,\N,2022-02-24
70208,261785,1,23,\N,2022-02-24
70212,258980,1,46,\N,2022-02-24
70213,262643,1,42,\N,2022-02-24
70222,263786,1,2,\N,2022-02-24
70224,261979,1,42,\N,2022-02-24
70227,263690,1,21,\N,2022-02-25
70228,262412,1,21,\N,2022-02-25
70230,260850,1,21,\N,2022-02-25
70231,264694,1,7,\N,2022-02-25
70232,264290,1,7,\N,2022-02-25
70233,264916,1,7,\N,2022-02-25
70234,263786,1,35,\N,2022-02-25
70235,260465,1,24,\N,2022-02-25
70239,262792,1,23,\N,2022-02-26
70242,263786,1,11,\N,2022-02-26
70249,264694,1,42,\N,2022-02-26
70250,263497,1,7,\N,2022-02-26
70254,265130,1,46,\N,2022-02-26
70255,261685,1,23,\N,2022-02-27
70258,261019,1,46,\N,2022-02-27
70260,264694,1,22,\N,2022-02-27
70261,261785,1,13,\N,2022-02-27
70264,264572,1,7,\N,2022-02-27
70266,264699,1,30,\N,2022-02-27
70271,264694,1,20,\N,2022-02-27
70274,264694,1,24,\N,2022-02-27
74223,261184,1,21,\N,2022-02-28
74227,264118,1,30,\N,2022-02-28
74228,264694,1,21,\N,2022-02-28
74231,264694,1,30,\N,2022-02-28
74232,263120,1,21,\N,2022-02-28
74234,264826,1,7,\N,2022-02-28
74236,261682,1,14,\N,2022-02-28
74237,264694,1,35,\N,2022-02-28
74240,262792,1,13,\N,2022-03-01
74241,264916,1,21,\N,2022-03-01
74242,264696,1,7,\N,2022-03-01
74243,264694,1,46,\N,2022-03-01
74244,262412,1,24,\N,2022-03-01
74246,263480,1,22,\N,2022-03-01
74247,261802,1,16,\N,2022-03-01
74252,262643,1,23,\N,2022-03-01
74258,264916,1,22,\N,2022-03-01
74265,260593,1,14,\N,2022-03-02
74272,265618,1,32,\N,2022-03-02
74273,265618,1,22,\N,2022-03-02
74276,261171,1,3,\N,2022-03-02
74279,265618,1,21,\N,2022-03-02
74280,265618,1,2,\N,2022-03-02
74281,265618,1,14,\N,2022-03-02
74282,264146,1,7,\N,2022-03-02
74283,265618,1,24,\N,2022-03-02
74284,265618,1,16,\N,2022-03-02
74285,265618,1,37,\N,2022-03-02
74286,261785,1,39,\N,2022-03-02
74287,265618,1,5,\N,2022-03-02
74288,261682,1,35,\N,2022-03-02
74289,265618,2,\N,1,2022-03-02
74296,263293,1,23,\N,2022-03-03
74297,263000,1,7,\N,2022-03-03
74299,264076,1,14,\N,2022-03-03
74301,265462,1,7,\N,2022-03-03
74302,261777,1,7,\N,2022-03-03
74303,265578,1,7,\N,2022-03-03
74311,264081,1,35,\N,2022-03-03
74316,264916,1,24,\N,2022-03-03
74317,264916,1,20,\N,2022-03-03
74318,261777,1,35,\N,2022-03-03
74319,263231,1,7,\N,2022-03-03
74321,264694,1,23,\N,2022-03-04
74323,261777,1,20,\N,2022-03-04
74324,260572,1,21,\N,2022-03-04
74325,264076,1,35,\N,2022-03-04
74331,264514,1,21,\N,2022-03-04
74337,261802,1,14,\N,2022-03-04
74338,262599,1,42,\N,2022-03-04
74341,260998,1,4,\N,2022-03-04
74342,260345,1,39,\N,2022-03-05
74346,262641,1,24,\N,2022-03-05
74349,262643,1,13,\N,2022-03-05
74350,265093,1,7,\N,2022-03-05
74355,265928,1,7,\N,2022-03-05
74357,263639,1,7,\N,2022-03-05
74359,263639,1,42,\N,2022-03-05
74361,263639,1,46,\N,2022-03-05
74363,261263,1,2,\N,2022-03-06
74368,264694,1,16,\N,2022-03-06
74371,263480,1,16,\N,2022-03-06
74375,261819,1,23,\N,2022-03-06
74380,265878,1,46,\N,2022-03-06
74381,263076,1,23,\N,2022-03-06
74383,260998,1,3,\N,2022-03-06
74386,265686,1,7,\N,2022-03-06
74387,264826,1,46,\N,2022-03-07
74389,263480,1,30,\N,2022-03-07
74390,265970,1,7,\N,2022-03-07
74391,265967,1,7,\N,2022-03-07
74396,263480,1,2,\N,2022-03-07
74402,261819,1,13,\N,2022-03-07
74404,261349,1,7,\N,2022-03-07
74410,260861,1,7,\N,2022-03-07
74411,263639,1,23,\N,2022-03-07
74412,262641,1,20,\N,2022-03-07
74413,261173,1,7,\N,2022-03-07
74420,265928,1,23,\N,2022-03-08
74421,260345,1,21,\N,2022-03-08
74422,265578,1,23,\N,2022-03-08
74424,262817,1,23,\N,2022-03-08
74428,261802,1,37,\N,2022-03-08
74433,261263,1,16,\N,2022-03-08
74436,261417,1,7,\N,2022-03-08
74438,263639,1,13,\N,2022-03-08
74440,266259,1,42,\N,2022-03-08
74445,264761,1,7,\N,2022-03-08
74447,264361,1,14,\N,2022-03-08
74448,263639,1,39,\N,2022-03-08
74449,261905,1,24,\N,2022-03-09
74450,260173,1,14,\N,2022-03-09
74452,264076,1,3,\N,2022-03-09
74453,262641,1,22,\N,2022-03-09
74454,265966,1,21,\N,2022-03-09
74457,261785,1,21,\N,2022-03-09
74460,259429,1,42,\N,2022-03-09
74461,264253,1,23,\N,2022-03-09
74463,265302,1,7,\N,2022-03-09
74465,261756,1,2,\N,2022-03-09
74467,263786,1,7,\N,2022-03-09
74469,263690,1,24,\N,2022-03-09
74476,259767,1,21,\N,2022-03-10
74478,265966,1,24,\N,2022-03-10
74479,265966,1,7,\N,2022-03-10
74482,262580,1,4,\N,2022-03-10
74488,261802,1,32,\N,2022-03-10
74490,264049,1,7,\N,2022-03-10
74503,265813,1,42,\N,2022-03-11
74508,266549,1,7,\N,2022-03-11
74518,260813,1,7,\N,2022-03-11
74521,264400,1,23,\N,2022-03-11
74523,264916,1,16,\N,2022-03-11
74527,264146,1,42,\N,2022-03-12
74529,266614,1,7,\N,2022-03-12
74530,264572,1,14,\N,2022-03-12
74531,262641,1,7,\N,2022-03-12
74533,266693,1,7,\N,2022-03-12
74536,264826,1,42,\N,2022-03-12
74539,263639,1,20,\N,2022-03-12
74540,264916,1,11,\N,2022-03-12
74541,265110,1,20,\N,2022-03-12
74542,266489,1,7,\N,2022-03-12
74543,262596,1,14,\N,2022-03-13
74546,259258,1,37,\N,2022-03-13
74547,266766,1,42,\N,2022-03-13
74548,266529,1,42,\N,2022-03-13
74550,259494,1,42,\N,2022-03-13
74553,260024,1,35,\N,2022-03-13
74554,263639,1,24,\N,2022-03-13
74555,261801,1,14,\N,2022-03-13
74557,260998,1,5,\N,2022-03-13
74558,260998,1,22,\N,2022-03-13
74560,267010,1,7,\N,2022-03-13
74561,263639,1,21,\N,2022-03-13
74564,263859,1,7,\N,2022-03-14
74565,265878,1,42,\N,2022-03-14
74568,263531,1,16,\N,2022-03-14
74570,263480,1,28,\N,2022-03-14
74572,263531,1,22,\N,2022-03-14
74577,264761,1,23,\N,2022-03-14
74581,264761,1,25,\N,2022-03-14
74582,263786,1,46,\N,2022-03-14
74583,264361,1,3,\N,2022-03-14
74584,264826,1,23,\N,2022-03-14
74589,261819,1,21,\N,2022-03-15
74591,260649,1,14,\N,2022-03-15
74597,266001,1,7,\N,2022-03-15
74598,261785,1,24,\N,2022-03-15
74599,266766,1,46,\N,2022-03-15
74602,265653,1,7,\N,2022-03-15
74603,263759,1,21,\N,2022-03-15
74604,264076,1,5,\N,2022-03-15
74606,263690,1,16,\N,2022-03-15
74613,263690,1,22,\N,2022-03-16
74615,266316,1,23,\N,2022-03-16
74616,264076,1,11,\N,2022-03-16
74620,266316,1,13,\N,2022-03-16
74623,263529,1,7,\N,2022-03-16
74624,266316,1,7,\N,2022-03-16
74627,263859,1,35,\N,2022-03-16
74630,262585,1,2,\N,2022-03-16
74631,264076,1,20,\N,2022-03-16
74633,261785,1,22,\N,2022-03-16
74636,264076,1,30,\N,2022-03-16
74637,263639,1,3,\N,2022-03-16
74638,263639,1,2,\N,2022-03-16
74639,261349,1,46,\N,2022-03-16
74643,264076,2,\N,2,2022-03-16
74646,265928,1,21,\N,2022-03-17
74651,267064,1,20,\N,2022-03-17
74652,261777,1,22,\N,2022-03-17
74653,261184,1,23,\N,2022-03-17
74654,265572,1,7,\N,2022-03-17
74655,267114,1,7,\N,2022-03-17
74658,265928,1,13,\N,2022-03-17
74659,265250,1,42,\N,2022-03-17
74660,266512,1,20,\N,2022-03-17
74661,266001,1,46,\N,2022-03-17
74662,264761,1,21,\N,2022-03-17
74666,259011,1,23,\N,2022-03-17
74667,263293,1,21,\N,2022-03-17
74668,263661,1,7,\N,2022-03-17
74669,266614,1,21,\N,2022-03-18
74670,261777,1,16,\N,2022-03-18
74671,265928,1,22,\N,2022-03-18
74672,262643,1,39,\N,2022-03-18
74673,267778,1,7,\N,2022-03-18
74676,266316,1,39,\N,2022-03-18
74678,260572,1,24,\N,2022-03-18
74680,265572,1,42,\N,2022-03-18
74682,266901,1,7,\N,2022-03-18
74685,264514,1,16,\N,2022-03-19
74687,260855,1,7,\N,2022-03-19
74688,264514,1,22,\N,2022-03-19
74689,264761,1,35,\N,2022-03-19
74691,259106,1,23,\N,2022-03-19
74693,267916,1,7,\N,2022-03-19
74696,264916,1,50,\N,2022-03-20
74697,266001,1,42,\N,2022-03-20
74698,264687,1,7,\N,2022-03-20
74700,261171,1,14,\N,2022-03-20
74708,267064,1,35,\N,2022-03-20
74715,261756,1,14,\N,2022-03-20
74716,264514,1,11,\N,2022-03-20
74719,264623,1,21,\N,2022-03-20
74721,261680,1,7,\N,2022-03-20
74724,260572,1,16,\N,2022-03-21
74725,264623,1,7,\N,2022-03-21
74726,260572,1,7,\N,2022-03-21
74727,264146,1,46,\N,2022-03-21
74730,267515,1,7,\N,2022-03-21
74731,264131,1,7,\N,2022-03-21
74736,261171,1,7,\N,2022-03-21
74739,260998,1,11,\N,2022-03-21
74743,264623,1,24,\N,2022-03-21
74747,266766,1,23,\N,2022-03-22
74753,259494,1,46,\N,2022-03-22
74754,266754,1,7,\N,2022-03-22
74757,259996,1,23,\N,2022-03-22
74758,265966,1,16,\N,2022-03-22
74760,262569,1,23,\N,2022-03-22
74765,265966,1,22,\N,2022-03-23
74766,265813,1,7,\N,2022-03-23
74768,265813,1,46,\N,2022-03-23
74769,262412,1,35,\N,2022-03-23
74773,261171,1,13,\N,2022-03-23
74774,260572,1,22,\N,2022-03-23
74776,268357,1,7,\N,2022-03-23
74777,263076,1,14,\N,2022-03-23
74778,260173,1,35,\N,2022-03-23
74782,261905,1,16,\N,2022-03-23
74783,263934,1,7,\N,2022-03-23
74796,267721,1,23,\N,2022-03-24
74804,268113,1,7,\N,2022-03-24
74808,265250,1,7,\N,2022-03-24
74813,266614,1,24,\N,2022-03-25
74817,267358,1,7,\N,2022-03-25
74819,267662,1,45,\N,2022-03-25
74821,265928,1,42,\N,2022-03-25
74823,261171,1,11,\N,2022-03-25
74824,261171,1,11,\N,2022-03-25
74826,268129,1,7,\N,2022-03-25
74830,260042,1,42,\N,2022-03-26
74832,264514,1,30,\N,2022-03-26
74833,260042,1,46,\N,2022-03-26
74835,260042,1,7,\N,2022-03-26
74837,260042,1,13,\N,2022-03-26
74839,260042,1,23,\N,2022-03-26
74840,267721,1,7,\N,2022-03-26
74845,261905,1,22,\N,2022-03-27
74846,261171,1,5,\N,2022-03-27
74848,261171,2,\N,2,2022-03-27
74853,267898,1,7,\N,2022-03-27
74857,264400,1,21,\N,2022-03-27
74861,260593,1,37,\N,2022-03-27
74862,260593,1,37,\N,2022-03-27
74868,261682,1,3,\N,2022-03-27
74869,261019,1,23,\N,2022-03-27
74870,261019,1,23,\N,2022-03-27
74872,268600,1,7,\N,2022-03-27
74874,266758,1,37,\N,2022-03-28
74883,263934,1,21,\N,2022-03-28
74886,264146,1,23,\N,2022-03-28
74895,266512,1,35,\N,2022-03-29
74900,268113,1,21,\N,2022-03-29
74904,266788,1,7,\N,2022-03-29
74906,267391,1,7,\N,2022-03-29
74910,264146,1,13,\N,2022-03-29
74913,260968,1,46,\N,2022-03-29
74918,268357,1,23,\N,2022-03-30
74919,267721,1,21,\N,2022-03-30
74929,261756,1,26,\N,2022-03-30
74932,268373,1,7,\N,2022-03-30
74934,265519,1,42,\N,2022-03-30
74935,260998,1,37,\N,2022-03-30
74936,268817,1,7,\N,2022-03-30
74938,263690,1,37,\N,2022-03-30
74939,265519,1,7,\N,2022-03-30
74941,267916,1,21,\N,2022-03-30
74943,265878,1,23,\N,2022-03-31
74944,268553,1,7,\N,2022-03-31
74945,262578,1,7,\N,2022-03-31
74947,261756,1,7,\N,2022-03-31
74956,260042,1,39,\N,2022-03-31
74957,268796,1,21,\N,2022-03-31
74958,268011,1,23,\N,2022-03-31
74959,265966,1,14,\N,2022-03-31
74961,268764,1,21,\N,2022-04-01
74962,265928,1,30,\N,2022-04-01
74963,259106,1,7,\N,2022-04-01
74966,267854,1,16,\N,2022-04-01
74967,268714,1,7,\N,2022-04-01
74969,264472,1,30,\N,2022-04-01
74975,259860,1,23,\N,2022-04-01
74981,260572,1,37,\N,2022-04-02
74989,268331,1,21,\N,2022-04-02
74993,264687,1,42,\N,2022-04-02
74994,262599,1,21,\N,2022-04-02
74997,261019,1,13,\N,2022-04-02
75002,267064,1,7,\N,2022-04-03
75008,267854,1,22,\N,2022-04-03
75009,268553,1,20,\N,2022-04-03
75012,264514,1,14,\N,2022-04-03
75014,267898,1,23,\N,2022-04-03
75018,260998,1,24,\N,2022-04-03
75019,268390,1,22,\N,2022-04-03
75020,264146,1,39,\N,2022-04-03
75021,268390,1,20,\N,2022-04-03
75024,265250,1,21,\N,2022-04-04
75025,265967,1,23,\N,2022-04-04
75026,265967,1,23,\N,2022-04-04
75027,260649,1,37,\N,2022-04-04
75031,268714,1,21,\N,2022-04-04
75032,268866,1,7,\N,2022-04-04
75035,266758,1,50,\N,2022-04-05
75043,264761,1,14,\N,2022-04-05
75046,269000,1,7,\N,2022-04-05
75047,268390,1,26,\N,2022-04-05
75050,261590,1,7,\N,2022-04-05
75051,268796,1,24,\N,2022-04-05
75052,269066,1,42,\N,2022-04-05
75053,260998,1,12,\N,2022-04-05
75056,268796,1,22,\N,2022-04-06
75057,269047,1,21,\N,2022-04-06
75058,269220,1,7,\N,2022-04-06
75059,260998,1,50,\N,2022-04-06
75060,268989,1,7,\N,2022-04-06
75062,263480,1,14,\N,2022-04-06
75063,263480,1,14,\N,2022-04-06
75064,259494,1,23,\N,2022-04-06
75068,263690,1,32,\N,2022-04-06
75070,267064,1,21,\N,2022-04-06
75071,268390,1,7,\N,2022-04-06
75072,265970,1,21,\N,2022-04-07
75073,266614,1,30,\N,2022-04-07
75075,260754,1,16,\N,2022-04-07
75076,266041,1,42,\N,2022-04-07
75077,260465,1,16,\N,2022-04-07
75078,261785,1,28,\N,2022-04-07
75079,268866,1,23,\N,2022-04-07
75085,267203,1,21,\N,2022-04-07
75086,269843,1,35,\N,2022-04-07
75087,263076,1,28,\N,2022-04-07
75092,265878,1,13,\N,2022-04-08
75094,266614,1,22,\N,2022-04-08
75096,268989,1,21,\N,2022-04-08
75097,268764,1,24,\N,2022-04-08
75098,266112,1,20,\N,2022-04-08
75100,268556,1,35,\N,2022-04-08
75102,269066,1,7,\N,2022-04-08
75103,261785,1,25,\N,2022-04-08
75104,266112,1,35,\N,2022-04-08
75106,264253,1,21,\N,2022-04-08
75113,260042,1,21,\N,2022-04-09
75114,269070,1,23,\N,2022-04-09
75120,260168,1,22,\N,2022-04-09
75121,259860,1,21,\N,2022-04-09
75122,268962,1,42,\N,2022-04-09
75123,268390,1,2,\N,2022-04-09
75126,270022,1,7,\N,2022-04-10
75128,261777,1,37,\N,2022-04-10
75130,265101,1,7,\N,2022-04-10
75131,265101,1,7,\N,2022-04-10
75132,260754,1,22,\N,2022-04-10
75137,261756,1,46,\N,2022-04-10
75138,259429,1,7,\N,2022-04-10
75141,259429,1,46,\N,2022-04-10
75142,267959,1,21,\N,2022-04-10
75145,268825,1,25,\N,2022-04-11
75147,268805,1,7,\N,2022-04-11
75149,268978,1,7,\N,2022-04-11
75150,260465,1,22,\N,2022-04-11
75152,261801,1,7,\N,2022-04-11
75153,260042,1,25,\N,2022-04-11
75155,265928,1,16,\N,2022-04-11
75158,270363,1,7,\N,2022-04-11
75159,268510,1,7,\N,2022-04-12
75160,259504,1,37,\N,2022-04-12
75161,259174,1,14,\N,2022-04-12
75163,259283,1,16,\N,2022-04-12
75168,260465,1,30,\N,2022-04-12
75169,261802,1,3,\N,2022-04-12
75171,261801,1,20,\N,2022-04-12
75177,265928,1,14,\N,2022-04-12
75178,268796,1,16,\N,2022-04-12
75179,266112,1,7,\N,2022-04-12
75185,267916,1,24,\N,2022-04-13
75187,268129,1,42,\N,2022-04-13
75189,265003,1,2,\N,2022-04-13
75190,270042,1,7,\N,2022-04-13
75192,259504,1,32,\N,2022-04-13
75195,262406,1,35,\N,2022-04-13
75197,267064,1,11,\N,2022-04-13
75203,263293,1,14,\N,2022-04-13
75204,261510,1,20,\N,2022-04-13
75205,261510,1,20,\N,2022-04-13
75206,265250,1,24,\N,2022-04-13
75207,269646,1,2,\N,2022-04-14
75208,270022,1,23,\N,2022-04-14
75211,269671,1,7,\N,2022-04-14
75214,269570,1,7,\N,2022-04-14
75216,269934,1,7,\N,2022-04-14
75217,269934,1,23,\N,2022-04-14
75218,268390,1,21,\N,2022-04-14
75220,269066,1,46,\N,2022-04-14
75221,261756,1,42,\N,2022-04-14
75222,261883,1,23,\N,2022-04-14
75223,266693,1,21,\N,2022-04-14
75226,262459,1,14,\N,2022-04-14
75228,270022,1,13,\N,2022-04-15
75229,268989,1,42,\N,2022-04-15
75231,261682,1,5,\N,2022-04-15
75233,266112,1,42,\N,2022-04-15
75235,270700,1,13,\N,2022-04-15
75236,266112,1,46,\N,2022-04-15
75241,268357,1,21,\N,2022-04-15
75246,267949,1,7,\N,2022-04-15
75248,270240,1,42,\N,2022-04-15
75250,260998,1,33,\N,2022-04-16
75257,267898,1,21,\N,2022-04-16
75260,264476,1,42,\N,2022-04-16
75261,265928,1,37,\N,2022-04-16
75263,264476,1,23,\N,2022-04-16
75265,268714,1,24,\N,2022-04-16
75266,261466,1,21,\N,2022-04-16
75267,261466,1,21,\N,2022-04-16
75268,262569,1,21,\N,2022-04-16
75270,260998,1,32,\N,2022-04-16
75271,261785,1,45,\N,2022-04-16
75272,268390,1,23,\N,2022-04-16
75273,265003,1,16,\N,2022-04-17
75277,270075,1,42,\N,2022-04-17
75278,270135,1,7,\N,2022-04-17
75279,262406,1,13,\N,2022-04-17
75282,259429,1,23,\N,2022-04-17
