student_id,course_id,minutes_watched,date_watched
258818,2,5.78,2022-03-07
264361,2,101.95,2022-03-07
266267,2,0.12,2022-03-07
266154,2,20.13,2022-03-08
266333,2,1.28,2022-03-08
258818,2,23.97,2022-03-08
264361,2,47.85,2022-03-08
266316,2,8.4,2022-03-08
261756,2,37.05,2022-03-08
265628,2,1.03,2022-03-08
266470,2,0.28,2022-03-09
266493,2,0.12,2022-03-09
261756,2,85.28,2022-03-09
258818,2,30.52,2022-03-09
266601,2,5.87,2022-03-09
266447,2,3.87,2022-03-10
261756,2,0.05,2022-03-10
258818,2,18.48,2022-03-11
266333,2,6.65,2022-03-11
266857,2,1.45,2022-03-11
262585,2,26.27,2022-03-11
266888,2,0.92,2022-03-11
258818,2,19.35,2022-03-12
266931,2,0.18,2022-03-12
266588,2,7.75,2022-03-12
262585,2,16.18,2022-03-12
261227,2,1.97,2022-03-13
266640,2,0.07,2022-03-13
259402,2,0.18,2022-03-13
267136,2,25.47,2022-03-13
267140,2,0.57,2022-03-13
267136,2,7.78,2022-03-14
266588,2,41.6,2022-03-14
262585,2,41.22,2022-03-14
267294,2,0.67,2022-03-14
267313,2,0.57,2022-03-14
266588,2,22.7,2022-03-15
261778,2,37.97,2022-03-15
262585,2,23.65,2022-03-15
265373,2,35.5,2022-03-15
263648,2,7.63,2022-03-15
259402,2,0.5,2022-03-15
263639,2,7.03,2022-03-15
261778,2,66.08,2022-03-16
267447,2,37.07,2022-03-16
267141,2,0.57,2022-03-16
263639,2,152.77,2022-03-16
263648,2,33.9,2022-03-16
267616,2,0.2,2022-03-16
261785,2,23.55,2022-03-16
263648,2,10.5,2022-03-17
259524,2,127.07,2022-03-17
263639,2,26.57,2022-03-17
261785,2,35.4,2022-03-17
265373,2,3.7,2022-03-18
261785,2,7.2,2022-03-18
260747,2,0.07,2022-03-18
263672,2,29.03,2022-03-19
261785,2,37.32,2022-03-19
267496,2,96.08,2022-03-19
267327,2,0.1,2022-03-19
261785,2,14.67,2022-03-20
267812,2,44.53,2022-03-20
261281,2,0.57,2022-03-20
263479,2,4.97,2022-03-20
265204,2,0.1,2022-03-21
263479,2,0.83,2022-03-21
267412,2,5.73,2022-03-21
263231,2,57.93,2022-03-21
263231,2,0.08,2022-03-22
267812,2,111.65,2022-03-22
261785,2,22.42,2022-03-22
261766,2,97.07,2022-03-22
268324,2,2.87,2022-03-22
268257,2,37.08,2022-03-22
268240,2,2.45,2022-03-22
261766,2,34.58,2022-03-23
261785,2,110.47,2022-03-23
268257,2,9.5,2022-03-23
261785,2,1.63,2022-03-24
268454,2,0.05,2022-03-24
260033,2,21.18,2022-03-25
261766,2,0.85,2022-03-25
268257,2,3.85,2022-03-25
268262,2,27.48,2022-03-26
268262,2,4.48,2022-03-27
268672,2,0.12,2022-03-27
263693,2,5.63,2022-03-27
263693,2,61.2,2022-03-28
261716,2,0.23,2022-03-28
265373,2,19.77,2022-03-28
268257,2,36.73,2022-03-28
264404,2,0.57,2022-03-29
268832,2,0.18,2022-03-29
268870,2,9,2022-03-29
266529,2,22.23,2022-03-29
266529,2,38.85,2022-03-30
268516,2,4.48,2022-03-30
267487,2,39.68,2022-03-31
269137,2,10.15,2022-03-31
267487,2,8.68,2022-04-01
258800,2,10.47,2022-04-01
269283,2,2.53,2022-04-01
262988,2,10.63,2022-04-02
267487,2,33.08,2022-04-02
269483,2,0.38,2022-04-03
262988,2,21.22,2022-04-03
269505,2,0.05,2022-04-03
268516,2,55.48,2022-04-04
262988,2,76.63,2022-04-05
268516,2,12.35,2022-04-05
268817,2,72.7,2022-04-07
270016,2,0.4,2022-04-08
269646,2,26.53,2022-04-08
270018,2,0.47,2022-04-08
269757,2,40.48,2022-04-08
267286,2,19,2022-04-08
269099,2,4.92,2022-04-08
268390,2,0.62,2022-04-08
270150,2,0.62,2022-04-08
269646,2,39.57,2022-04-09
269757,2,9.52,2022-04-09
268390,2,110.7,2022-04-09
270284,2,0.1,2022-04-10
269646,2,4.28,2022-04-10
270382,2,2.42,2022-04-10
269646,2,13.15,2022-04-11
266112,2,6.58,2022-04-11
270018,2,0.92,2022-04-11
270563,2,8.4,2022-04-12
268805,2,20.33,2022-04-12
265003,2,59.6,2022-04-12
269646,2,52.95,2022-04-13
264974,2,1.13,2022-04-13
265003,2,85,2022-04-13
270676,2,0.08,2022-04-13
268805,2,14.3,2022-04-13
261782,2,19.98,2022-04-13
270521,2,46.77,2022-04-13
269646,2,2.58,2022-04-14
270018,2,26.48,2022-04-14
269314,2,93.23,2022-04-15
270944,2,0.33,2022-04-16
270991,2,0.27,2022-04-16
270018,2,27.42,2022-04-16
271005,2,42.98,2022-04-16
270018,2,7.3,2022-04-17
270018,2,9.85,2022-04-18
260608,2,4.6,2022-04-18
260042,2,19.05,2022-04-18
270648,2,45.73,2022-04-19
260042,2,42.58,2022-04-19
260608,2,34.27,2022-04-19
271300,2,34.7,2022-04-19
264146,2,55.47,2022-04-19
260608,2,31.9,2022-04-20
270018,2,12.05,2022-04-20
269314,2,1.47,2022-04-20
264146,2,49.42,2022-04-20
271203,2,28.1,2022-04-21
265927,2,27.07,2022-04-21
259504,2,0.23,2022-04-21
271456,2,0.55,2022-04-21
268152,2,45.67,2022-04-22
271203,2,3.37,2022-04-22
263368,2,48.38,2022-04-22
271598,2,24.85,2022-04-22
266112,2,53.03,2022-04-22
259504,2,26.32,2022-04-23
260042,2,59.78,2022-04-23
271670,2,1.8,2022-04-23
263368,2,62.35,2022-04-23
263368,2,13.65,2022-04-24
271780,2,1.53,2022-04-24
268152,2,0.95,2022-04-25
271598,2,0.93,2022-04-25
263368,2,27.67,2022-04-26
270014,2,76.9,2022-04-27
266112,2,14.7,2022-04-27
266112,2,18.98,2022-04-28
262044,2,0.58,2022-04-28
259767,2,2.28,2022-04-29
268152,2,2.05,2022-04-30
272232,2,18.7,2022-04-30
268152,2,33.07,2022-05-01
272586,2,21.3,2022-05-02
261801,2,54.97,2022-05-02
263683,2,0.53,2022-05-02
270486,2,36.4,2022-05-02
270486,2,42.97,2022-05-03
261801,2,89.07,2022-05-03
269832,2,0.05,2022-05-03
272586,2,9.68,2022-05-03
270014,2,3.27,2022-05-03
272742,2,25.93,2022-05-03
270486,2,15.7,2022-05-04
261801,2,28.15,2022-05-04
261593,2,18.83,2022-05-04
263683,2,26.98,2022-05-04
270710,2,15.1,2022-05-04
272732,2,31.2,2022-05-04
270486,2,13.87,2022-05-05
261801,2,42.02,2022-05-05
266112,2,45.8,2022-05-05
268152,2,9.25,2022-05-05
261593,2,22.5,2022-05-05
269314,2,79.7,2022-05-05
269314,2,90.4,2022-05-06
272981,2,0.48,2022-05-06
261801,2,8.43,2022-05-06
261801,2,114.87,2022-05-07
262821,2,41.52,2022-05-07
268805,2,39.6,2022-05-07
262641,2,28.47,2022-05-08
273140,2,7.27,2022-05-08
273211,2,11.55,2022-05-08
263706,2,48.35,2022-05-08
273232,2,0.25,2022-05-08
273140,2,49.97,2022-05-09
268152,2,30.32,2022-05-09
263706,2,1.85,2022-05-09
266447,2,28.52,2022-05-09
261593,2,4.75,2022-05-09
273351,2,18.38,2022-05-10
264476,2,4.07,2022-05-10
261593,2,21.67,2022-05-10
273509,2,0.65,2022-05-11
264476,2,0.2,2022-05-11
261593,2,15.23,2022-05-11
263706,2,1.93,2022-05-11
270014,2,38.02,2022-05-11
263683,2,12.32,2022-05-11
268825,2,10.53,2022-05-12
271348,2,55.6,2022-05-12
271348,2,11.57,2022-05-13
273794,2,0.07,2022-05-13
273979,2,4.73,2022-05-15
273953,2,0.8,2022-05-15
262641,2,28.98,2022-05-16
272909,2,7.03,2022-05-16
262641,2,21.43,2022-05-17
271348,2,35.3,2022-05-17
261593,2,21,2022-05-17
272909,2,24.62,2022-05-18
271348,2,6.47,2022-05-18
267936,2,70.7,2022-05-18
269204,2,24.03,2022-05-18
274365,2,5.88,2022-05-18
273955,2,1.62,2022-05-18
267936,2,44.23,2022-05-19
269204,2,29.37,2022-05-19
265928,2,50.58,2022-05-19
272472,2,57.52,2022-05-19
258913,2,4.95,2022-05-19
274272,2,27.03,2022-05-19
273825,2,2.68,2022-05-19
272909,2,19.7,2022-05-19
274272,2,15.42,2022-05-20
272909,2,6.65,2022-05-20
259767,2,75.5,2022-05-20
267936,2,46.33,2022-05-20
272472,2,43.32,2022-05-20
270931,2,1.82,2022-05-20
259767,2,68.12,2022-05-21
274611,2,2.2,2022-05-21
274070,2,0.25,2022-05-21
272909,2,62.9,2022-05-22
274742,2,32.37,2022-05-22
274564,2,13.7,2022-05-22
274377,2,0.2,2022-05-22
274777,2,0.5,2022-05-23
268152,2,30.35,2022-05-23
274799,2,4.58,2022-05-23
270117,2,63.27,2022-05-23
269204,2,26.47,2022-05-23
274742,2,18.68,2022-05-23
274834,2,0.22,2022-05-23
271701,2,0.17,2022-05-23
274130,2,19.38,2022-05-23
274739,2,0.95,2022-05-24
269204,2,19.8,2022-05-24
274938,2,20.55,2022-05-24
272909,2,0.78,2022-05-25
269204,2,16.08,2022-05-25
275021,2,75.8,2022-05-25
274130,2,0.98,2022-05-25
275021,2,33.77,2022-05-26
270197,2,0.78,2022-05-26
269769,2,0.48,2022-05-26
272842,2,132.73,2022-05-27
266447,2,5.88,2022-05-27
265928,2,41.55,2022-05-28
263087,2,0.57,2022-05-28
274096,2,1.23,2022-05-29
275141,2,0.05,2022-05-29
259860,2,56.08,2022-05-30
262641,2,5.02,2022-05-30
270689,2,0.38,2022-05-31
274272,2,25.37,2022-06-01
274904,2,4.13,2022-06-01
258818,2,0.23,2022-06-01
275738,2,39.3,2022-06-01
264141,2,1.93,2022-06-01
265588,2,0.55,2022-06-02
274611,2,0.05,2022-06-02
275147,2,3.78,2022-06-02
269314,2,0.18,2022-06-02
276135,2,0.55,2022-06-02
276158,2,7.17,2022-06-02
262641,2,30.77,2022-06-02
274272,2,12.03,2022-06-03
265588,2,32.1,2022-06-03
276306,2,2.68,2022-06-03
258818,2,11.95,2022-06-03
276346,2,24.53,2022-06-03
276231,2,16.22,2022-06-04
258818,2,0.37,2022-06-04
265588,2,50.47,2022-06-04
275038,2,92.12,2022-06-05
268011,2,61.9,2022-06-05
259860,2,94.33,2022-06-06
274272,2,17.17,2022-06-07
274377,2,0.35,2022-06-07
268410,2,10.27,2022-06-07
276929,2,6.3,2022-06-08
276909,2,9.88,2022-06-08
268410,2,14.45,2022-06-08
276135,2,6.55,2022-06-08
259870,2,38.07,2022-06-08
266795,2,3.12,2022-06-08
276135,2,20.6,2022-06-09
276355,2,1.27,2022-06-09
268011,2,32.78,2022-06-09
265966,2,6.72,2022-06-09
277225,2,0.05,2022-06-09
265966,2,3.82,2022-06-10
275282,2,71.45,2022-06-10
260173,2,6.53,2022-06-10
276909,2,0.27,2022-06-10
276676,2,5.63,2022-06-10
268011,2,48,2022-06-11
276135,2,57.73,2022-06-11
277433,2,0.35,2022-06-11
277411,2,40.55,2022-06-11
268926,2,9.57,2022-06-12
271856,2,0.55,2022-06-12
268011,2,13.42,2022-06-12
276135,2,58.53,2022-06-12
265966,2,35.95,2022-06-12
268410,2,1.52,2022-06-12
268926,2,67.15,2022-06-13
274564,2,73.43,2022-06-13
272717,2,9.8,2022-06-13
260173,2,18.8,2022-06-13
272865,2,28.87,2022-06-13
271670,2,0.37,2022-06-13
268926,2,32.73,2022-06-14
271670,2,0.3,2022-06-14
277698,2,26.82,2022-06-14
265966,2,56.32,2022-06-14
274564,2,109.92,2022-06-14
260173,2,30.27,2022-06-14
272255,2,11.17,2022-06-14
274938,2,27.7,2022-06-14
273936,2,4.7,2022-06-14
276676,2,0.05,2022-06-15
272255,2,30.17,2022-06-15
277281,2,0.62,2022-06-15
277827,2,30.68,2022-06-15
274039,2,35.03,2022-06-15
260373,2,0.35,2022-06-15
274039,2,61.83,2022-06-16
272865,2,2.43,2022-06-16
260173,2,32.63,2022-06-17
269874,2,0.95,2022-06-17
272865,2,13.9,2022-06-17
261756,2,1.48,2022-06-17
276829,2,26.25,2022-06-17
262414,2,0.38,2022-06-18
269874,2,0.05,2022-06-18
278661,2,0.8,2022-06-20
278670,2,0.23,2022-06-20
269874,2,0.92,2022-06-20
269874,2,44.77,2022-06-21
278743,2,28.37,2022-06-21
277864,2,0.67,2022-06-21
272586,2,0.5,2022-06-21
261593,2,19.52,2022-06-21
262784,2,0.45,2022-06-21
272865,2,29.5,2022-06-21
278836,2,0.07,2022-06-21
268357,2,16.3,2022-06-22
269874,2,61.92,2022-06-22
273936,2,0.1,2022-06-22
274448,2,43.38,2022-06-22
278898,2,7.15,2022-06-22
272865,2,4.88,2022-06-22
278969,2,0.35,2022-06-23
261716,2,25.88,2022-06-23
269874,2,2.77,2022-06-23
260173,2,5.75,2022-06-23
277066,2,12.92,2022-06-23
279036,2,2.03,2022-06-23
272865,2,29.73,2022-06-24
263087,2,23.75,2022-06-24
275038,2,0.18,2022-06-24
273936,2,2.7,2022-06-24
275038,2,31.02,2022-06-25
277557,2,41.2,2022-06-25
272586,2,19.1,2022-06-25
269874,2,1.25,2022-06-25
263087,2,31.45,2022-06-25
262643,2,4.13,2022-06-25
263087,2,10.78,2022-06-26
269874,2,8.28,2022-06-26
269518,2,55.53,2022-06-26
278662,2,34.98,2022-06-26
261239,2,10.53,2022-06-26
279362,2,0.43,2022-06-26
269874,2,56.08,2022-06-27
279392,2,0.72,2022-06-27
260173,2,34.45,2022-06-27
269518,2,5.67,2022-06-27
272586,2,5,2022-06-27
262414,2,12.43,2022-06-27
271856,2,81.58,2022-06-27
262643,2,24.6,2022-06-27
272865,2,65.85,2022-06-28
272058,2,110.67,2022-06-28
278940,2,17.03,2022-06-28
279519,2,3.72,2022-06-28
261239,2,32.45,2022-06-28
260173,2,63.75,2022-06-28
269874,2,4.18,2022-06-28
272586,2,7.55,2022-06-28
275050,2,15.18,2022-06-28
274814,2,32.17,2022-06-29
262414,2,13.75,2022-06-29
270075,2,26.67,2022-06-30
272586,2,12.45,2022-06-30
263087,2,9.45,2022-06-30
260173,2,51.62,2022-06-30
272058,2,13.98,2022-06-30
279926,2,42.1,2022-07-01
272058,2,41.58,2022-07-01
277066,2,0.72,2022-07-01
270075,2,34.78,2022-07-01
279937,2,0.55,2022-07-01
270075,2,45.8,2022-07-02
272058,2,122.15,2022-07-02
280114,2,132.63,2022-07-02
269518,2,4.57,2022-07-03
272586,2,17.6,2022-07-03
272058,2,4.12,2022-07-03
270075,2,38.12,2022-07-03
280197,2,1.72,2022-07-03
280198,2,0.83,2022-07-03
263087,2,3.93,2022-07-04
280358,2,15.37,2022-07-05
258913,2,3.4,2022-07-05
258913,2,52.42,2022-07-06
263087,2,27.1,2022-07-06
258913,2,12.62,2022-07-07
274814,2,10.68,2022-07-07
278641,2,4.43,2022-07-07
275050,2,34.75,2022-07-07
274814,2,91.3,2022-07-08
272586,2,34.62,2022-07-09
280867,2,0.3,2022-07-09
280851,2,38.63,2022-07-09
279862,2,23.68,2022-07-09
274906,2,0.62,2022-07-09
274814,2,19.3,2022-07-09
263913,2,6.72,2022-07-09
280939,2,2.08,2022-07-09
280963,2,8.9,2022-07-10
280993,2,0.48,2022-07-10
272991,2,38.42,2022-07-10
280114,2,0.82,2022-07-10
275050,2,20.52,2022-07-10
262459,2,54.53,2022-07-11
272991,2,29.92,2022-07-11
281114,2,13.18,2022-07-11
280134,2,69.37,2022-07-12
269421,2,5.6,2022-07-12
262459,2,55.07,2022-07-12
275470,2,4.37,2022-07-12
262459,2,19.87,2022-07-13
275470,2,36.12,2022-07-13
281297,2,0.53,2022-07-13
263683,2,50.12,2022-07-13
272717,2,0.18,2022-07-13
281438,2,1.43,2022-07-13
275470,2,44.6,2022-07-14
274906,2,55.42,2022-07-14
272717,2,71.97,2022-07-14
275470,2,5.62,2022-07-15
263683,2,41.48,2022-07-15
274906,2,78.87,2022-07-15
275050,2,25.05,2022-07-15
270738,2,6.33,2022-07-16
281713,2,0.65,2022-07-16
269314,2,0.53,2022-07-16
281813,2,0.53,2022-07-17
281759,2,16.58,2022-07-17
272991,2,1.75,2022-07-17
281860,2,8.2,2022-07-17
281819,2,0.2,2022-07-17
275050,2,11.75,2022-07-17
281913,2,36.6,2022-07-18
281947,2,47.8,2022-07-18
261782,2,38.43,2022-07-18
282042,2,1.52,2022-07-19
275495,2,9.32,2022-07-19
261766,2,33.75,2022-07-20
281913,2,6.65,2022-07-20
266814,2,1.92,2022-07-20
265373,2,39.32,2022-07-20
281961,2,47.7,2022-07-20
262761,2,8.62,2022-07-21
261766,2,0.35,2022-07-21
276994,2,29.18,2022-07-21
261766,2,5.72,2022-07-22
261766,2,11.13,2022-07-23
278753,2,40.28,2022-07-23
266814,2,33.45,2022-07-24
274908,2,10.48,2022-07-24
281913,2,2.52,2022-07-25
282533,2,9.02,2022-07-25
278753,2,64.42,2022-07-25
280218,2,29.65,2022-07-25
280427,2,0.18,2022-07-25
275050,2,14.42,2022-07-25
280218,2,49.32,2022-07-26
280249,2,26.12,2022-07-26
261766,2,25.97,2022-07-26
279422,2,10.8,2022-07-26
263656,2,23.72,2022-07-27
280249,2,41.03,2022-07-28
274050,2,23.42,2022-07-28
275050,2,7.9,2022-07-28
280249,2,63.63,2022-07-29
274996,2,93.43,2022-07-29
282961,2,0.9,2022-07-29
261019,2,8.07,2022-07-29
274000,2,0.87,2022-07-30
261019,2,126.97,2022-07-30
283149,2,11.48,2022-07-30
283149,2,14.37,2022-07-31
266814,2,7.4,2022-07-31
274000,2,5.93,2022-07-31
262784,2,22.27,2022-07-31
277012,2,82.5,2022-07-31
270738,2,35.68,2022-07-31
261766,2,64.98,2022-07-31
280249,2,38.57,2022-07-31
261019,2,0.08,2022-07-31
283243,2,0.07,2022-07-31
266512,2,4.87,2022-07-31
282838,2,4.97,2022-07-31
274996,2,59.67,2022-08-01
261766,2,9.78,2022-08-01
282794,2,6.42,2022-08-01
261019,2,0.1,2022-08-01
276135,2,0.6,2022-08-01
282028,2,0.05,2022-08-02
282838,2,61.17,2022-08-02
283520,2,5.77,2022-08-02
283550,2,4.6,2022-08-02
279409,2,0.65,2022-08-02
280548,2,7.63,2022-08-02
273671,2,6.2,2022-08-02
282838,2,10.08,2022-08-03
282838,2,34.6,2022-08-04
283813,2,2.07,2022-08-04
283851,2,23.6,2022-08-04
283086,2,0.5,2022-08-04
279409,2,23.8,2022-08-04
274050,2,21.15,2022-08-04
283915,2,0.6,2022-08-04
283149,2,0.05,2022-08-04
283612,2,18.75,2022-08-04
282838,2,4.35,2022-08-05
283940,2,5.73,2022-08-05
283005,2,60.47,2022-08-05
283239,2,1.1,2022-08-05
274552,2,0.27,2022-08-05
265056,2,0.1,2022-08-06
274000,2,19.32,2022-08-06
283239,2,4.55,2022-08-06
282838,2,14.4,2022-08-06
276158,2,0.78,2022-08-07
279409,2,23.95,2022-08-07
282838,2,86.95,2022-08-07
283452,2,1.53,2022-08-07
280114,2,0.9,2022-08-07
274861,2,20.72,2022-08-07
284305,2,0.12,2022-08-07
272977,2,12.3,2022-08-08
279409,2,20.82,2022-08-08
268011,2,32.67,2022-08-08
281107,2,26.42,2022-08-08
274861,2,7.93,2022-08-08
272977,2,109.1,2022-08-09
274861,2,43.1,2022-08-09
284522,2,0.55,2022-08-09
279409,2,9.28,2022-08-09
274552,2,18.75,2022-08-09
284605,2,0.07,2022-08-09
275126,2,10.27,2022-08-10
274861,2,65.8,2022-08-10
282371,2,6.38,2022-08-10
282977,2,28.17,2022-08-11
274050,2,107.17,2022-08-11
284951,2,1.33,2022-08-11
274861,2,8.9,2022-08-11
283612,2,7.25,2022-08-11
264097,2,0.3,2022-08-12
282977,2,20.93,2022-08-12
280963,2,9.8,2022-08-12
285167,2,2.2,2022-08-12
285213,2,0.05,2022-08-13
282977,2,52.77,2022-08-13
285272,2,0.52,2022-08-13
274209,2,29.3,2022-08-13
285303,2,3.35,2022-08-13
285233,2,23.75,2022-08-13
283612,2,1.3,2022-08-13
285325,2,0.25,2022-08-13
259174,2,54.1,2022-08-14
284400,2,1.12,2022-08-14
277562,2,14.02,2022-08-14
274861,2,3.28,2022-08-15
284400,2,0.17,2022-08-15
285512,2,5.42,2022-08-15
285537,2,157.07,2022-08-15
285427,2,0.67,2022-08-15
280685,2,94.17,2022-08-15
285623,2,10.4,2022-08-15
285743,2,0.45,2022-08-15
274098,2,0.08,2022-08-15
285325,2,6.65,2022-08-15
278463,2,6.47,2022-08-15
275834,2,38.68,2022-08-15
285929,2,0.07,2022-08-15
263441,2,79.3,2022-08-15
285667,2,0.8,2022-08-15
266454,2,6,2022-08-15
273096,2,1.68,2022-08-15
259174,2,26.07,2022-08-15
286069,2,0.93,2022-08-15
286113,2,1.17,2022-08-15
284990,2,0.13,2022-08-15
283166,2,0.75,2022-08-15
285392,2,14.28,2022-08-15
285392,2,16.77,2022-08-16
259174,2,43.48,2022-08-16
268485,2,31.52,2022-08-16
283166,2,4.22,2022-08-16
281084,2,66.52,2022-08-16
286113,2,94.97,2022-08-16
286272,2,0.72,2022-08-16
277886,2,0.07,2022-08-16
286194,2,0.08,2022-08-16
286466,2,38.62,2022-08-16
285288,2,0.3,2022-08-16
286007,2,10.85,2022-08-16
286590,2,0.55,2022-08-16
286399,2,0.05,2022-08-16
266532,2,2.27,2022-08-16
286712,2,0.72,2022-08-17
283855,2,30.05,2022-08-17
283550,2,0.13,2022-08-17
273096,2,17.32,2022-08-17
286545,2,0.13,2022-08-17
286396,2,4.67,2022-08-17
286849,2,80.13,2022-08-17
286608,2,87.33,2022-08-17
286405,2,26.15,2022-08-17
286883,2,69.65,2022-08-17
286876,2,31.72,2022-08-17
277306,2,0.5,2022-08-17
286699,2,1.5,2022-08-17
286007,2,3.17,2022-08-17
286922,2,0.05,2022-08-17
284001,2,32.02,2022-08-17
286458,2,0.55,2022-08-17
284880,2,0.27,2022-08-17
284790,2,35.02,2022-08-17
271648,2,4.22,2022-08-17
286973,2,0.18,2022-08-17
286755,2,0.05,2022-08-18
286973,2,156.48,2022-08-18
286883,2,17.1,2022-08-18
286271,2,37.17,2022-08-18
287009,2,13.38,2022-08-18
285989,2,72.38,2022-08-18
284790,2,73.77,2022-08-18
274050,2,0.13,2022-08-18
287061,2,1.68,2022-08-18
282803,2,41.95,2022-08-18
265415,2,31.63,2022-08-18
286928,2,9.52,2022-08-18
285670,2,0.28,2022-08-18
259174,2,18.75,2022-08-19
262784,2,50.45,2022-08-19
284371,2,14.23,2022-08-19
286884,2,0.87,2022-08-19
281609,2,20.65,2022-08-19
284288,2,6.43,2022-08-19
287315,2,11.88,2022-08-20
284371,2,34.28,2022-08-20
269314,2,0.5,2022-08-20
287441,2,3.18,2022-08-21
287458,2,0.63,2022-08-21
284288,2,29.5,2022-08-21
287463,2,26.37,2022-08-21
287113,2,18.7,2022-08-21
284438,2,11.43,2022-08-21
267064,2,56.78,2022-08-21
287506,2,2.98,2022-08-21
286928,2,15.35,2022-08-21
267064,2,52.55,2022-08-22
284438,2,72.65,2022-08-22
273671,2,101.9,2022-08-22
287637,2,5.9,2022-08-22
279722,2,10.45,2022-08-23
284438,2,44.05,2022-08-23
261714,2,55.48,2022-08-23
275045,2,101.38,2022-08-24
287805,2,14.27,2022-08-24
284438,2,56.25,2022-08-24
285397,2,100.38,2022-08-24
286824,2,29.73,2022-08-24
287929,2,6.13,2022-08-24
275126,2,2.83,2022-08-24
261714,2,59.65,2022-08-25
260971,2,4.62,2022-08-25
270738,2,26.28,2022-08-25
286928,2,1.48,2022-08-25
272991,2,26.17,2022-08-25
268883,2,13.72,2022-08-25
284400,2,0.9,2022-08-26
288148,2,1.52,2022-08-26
275126,2,29.87,2022-08-26
284743,2,0.23,2022-08-26
275158,2,0.63,2022-08-27
282594,2,1.22,2022-08-27
288294,2,0.95,2022-08-27
275126,2,68.22,2022-08-27
288378,2,0.48,2022-08-28
288425,2,0.22,2022-08-28
284438,2,13.33,2022-08-28
